date,content,tweet_url,embedded_links
2025-06-28T13:00:07.000Z,"In a cost-cutting move to plug a $734 million budget shortfall, Chicago Public Schools officials said they laid off 161 employees and eliminated another 209 open positions on Friday.",https://x.com/chicagotribune/status/1938945508355059926,"['https://www.chicagotribune.com/2025/06/27/cps-ctu-layoffs-school-macquline-king/', 'https://www.chicagotribune.com/2025/06/27/cps-ctu-layoffs-school-macquline-king/']"
2025-06-28T12:30:07.000Z,Planning to ride the South Shore Line in the next couple of months? There’s still time to buy fares before they go up 10% on Tuesday.,https://x.com/chicagotribune/status/1938937957232066825,"['https://www.chicagotribune.com/2025/06/27/south-shore-line-fares-increase-10-on-tuesday/', 'https://www.chicagotribune.com/2025/06/27/south-shore-line-fares-increase-10-on-tuesday/']"
2025-06-28T12:00:03.000Z,Edward Keegan: Chicago Fire stadium plans cry out for a bit of quirkiness,https://x.com/chicagotribune/status/1938930391487828269,"['https://www.chicagotribune.com/2025/06/25/column-chicago-fire-stadium-plans-the-78-keegan/', 'https://www.chicagotribune.com/2025/06/25/column-chicago-fire-stadium-plans-the-78-keegan/']"
2025-06-28T11:30:09.000Z,"A Super Bowl halftime show performer was charged Thursday with two misdemeanors, about 4 1/2 months after he ran across the field at the Superdome waving a flag that included the words “Sudan and Free Gaza,” Louisiana State Police said.",https://x.com/chicagotribune/status/1938922867824951333,"['https://www.chicagotribune.com/2025/06/27/super-bowl-halftime-performer-flag/', 'https://www.chicagotribune.com/2025/06/27/super-bowl-halftime-performer-flag/']"
2025-06-28T11:00:16.000Z,The front page of today's Chicago Tribune. Read the e-edition here: http://chicagotribune.com/enewspaper,https://x.com/chicagotribune/status/1938915346343137785,['https://digitaledition.chicagotribune.com/html5/desktop/production/default.aspx?edid=339fbe85-31b1-4c92-8d67-05a6b5ed783f']
2025-06-28T10:32:05.000Z,Flora Johnson was a highly visible and prolific feature writer and editor for magazines and newspapers in Chicago for more than two decades.,https://x.com/chicagotribune/status/1938908254425292845,"['https://www.chicagotribune.com/2025/06/27/flora-johnson-a-prolific-chicago-journalist-remembered-as-bohemian-and-eccentric-dies/', 'https://www.chicagotribune.com/2025/06/27/flora-johnson-a-prolific-chicago-journalist-remembered-as-bohemian-and-eccentric-dies/']"
2025-06-28T10:00:06.000Z,Asking Eric: Friends didn't send my daughter a wedding gift,https://x.com/chicagotribune/status/1938900205358780714,"['https://www.chicagotribune.com/2025/06/28/asking-eric-friends-didnt-send-my-daughter-a-wedding-gift/', 'https://www.chicagotribune.com/2025/06/28/asking-eric-friends-didnt-send-my-daughter-a-wedding-gift/']"
2025-06-28T09:30:10.000Z,Today in History: President Abraham Lincoln appoints Maj. Gen. George G. Meade,https://x.com/chicagotribune/status/1938892670329389468,"['https://www.chicagotribune.com/2025/06/28/today-in-history-president-abraham-lincoln-appoints-maj-gen-george-g-meade/', 'https://www.chicagotribune.com/2025/06/28/today-in-history-president-abraham-lincoln-appoints-maj-gen-george-g-meade/']"
2025-06-28T09:00:04.000Z,Anna Wintour steps down as Vogue editor-in-chief after 37 years,https://x.com/chicagotribune/status/1938885097807081810,"['https://www.chicagotribune.com/2025/06/26/anna-wintour-vogue/', 'https://www.chicagotribune.com/2025/06/26/anna-wintour-vogue/']"
2025-06-28T08:30:06.000Z,Editorial: Is centrism in the Democratic Party dead? Let’s hope not.,https://x.com/chicagotribune/status/1938877555341136226,"['https://www.chicagotribune.com/2025/06/27/editorial-is-centrism-in-the-democratic-party-dead-lets-hope-not/', 'https://www.chicagotribune.com/2025/06/27/editorial-is-centrism-in-the-democratic-party-dead-lets-hope-not/']"
